City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Barkhan,PK,29.8977,69.5256,70.83,13,36,5.32,scattered clouds
80,Port Alfred,ZA,-33.5906,26.891,66.16,91,83,3.69,broken clouds
81,Krasnoselkup,RU,65.7,82.4667,31.68,97,100,20.74,snow
82,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds
83,Punta Arenas,CL,-53.15,-70.9167,55.4,38,0,11.5,clear sky
84,Nanortalik,GL,60.1432,-45.2371,36.19,63,0,5.14,clear sky
85,Victoria,HK,22.2855,114.1577,73.0,86,95,9.13,overcast clouds
86,Masingbi,SL,8.7833,-11.95,80.73,73,29,5.14,scattered clouds
87,Cherskiy,RU,68.75,161.3,-14.69,95,98,4.21,overcast clouds
88,Villamontes,BO,-21.25,-63.5,60.22,80,100,5.44,overcast clouds
89,Lodja,CD,-3.4833,23.4333,67.28,99,75,3.0,broken clouds
90,Kodiak,US,57.79,-152.4072,39.2,87,90,17.27,moderate rain
91,Thompson,CA,55.7435,-97.8558,26.6,68,90,12.66,overcast clouds
92,Qarchak,IR,35.4394,51.5689,66.2,30,40,5.44,scattered clouds
93,Letlhakeng,BW,-24.0944,25.0298,68.63,45,0,2.24,clear sky
94,Lavrentiya,RU,65.5833,-171.0,5.77,80,100,29.37,light snow
95,Mount Isa,AU,-20.7333,139.5,68.0,30,0,11.5,clear sky
96,Manzanillo,CU,20.3433,-77.1167,86.27,57,89,10.49,overcast clouds
97,Ulaanbaatar,MN,47.9077,106.8832,6.8,66,0,5.21,clear sky
98,Fort-Shevchenko,KZ,44.5086,50.263,63.07,40,3,25.66,clear sky
99,Young,UY,-32.6833,-57.6333,59.54,79,90,8.34,overcast clouds
100,Upernavik,GL,72.7868,-56.1549,31.05,73,100,20.83,overcast clouds
101,Saint Anthony,US,45.0205,-93.218,55.4,62,90,11.5,overcast clouds
102,Lebu,CL,-37.6167,-73.65,58.26,82,0,12.84,clear sky
103,Broome,US,42.2506,-75.833,57.99,100,90,11.5,moderate rain
104,Banda Aceh,ID,5.5577,95.3222,79.2,80,4,2.62,clear sky
105,Ahipara,NZ,-35.1667,173.1667,70.47,76,41,3.29,scattered clouds
106,Suez,EG,29.9737,32.5263,54.99,56,0,8.86,clear sky
107,Louis Trichardt,ZA,-23.0439,29.9032,62.19,64,0,3.47,clear sky
108,Chuy,UY,-33.6971,-53.4616,63.84,78,95,18.9,overcast clouds
109,Maceio,BR,-9.6658,-35.7353,71.6,100,75,6.91,light rain
110,Klyuchi,RU,52.2667,79.1667,30.97,94,21,7.54,few clouds
111,Lagoa,PT,39.05,-27.9833,61.99,84,100,7.94,overcast clouds
112,Port Elizabeth,ZA,-33.918,25.5701,60.8,100,40,3.44,scattered clouds
113,Mogadishu,SO,2.0371,45.3438,81.75,71,99,13.87,overcast clouds
114,Aswan,EG,24.0934,32.907,65.48,21,0,15.26,clear sky
115,Antalaha,MG,-14.9003,50.2788,74.25,88,100,5.97,overcast clouds
116,Kandrian,PG,-6.2167,149.55,78.64,86,100,10.09,light rain
117,Carnarvon,AU,-24.8667,113.6333,78.8,83,90,12.66,overcast clouds
118,Thunder Bay,CA,48.4001,-89.3168,48.2,87,90,9.22,overcast clouds
119,Hamilton,US,39.1834,-84.5333,53.6,76,90,16.11,overcast clouds
120,Kayes,ML,14.0,-11.0,97.0,12,0,4.45,clear sky
121,Port Blair,IN,11.6667,92.75,81.68,76,97,4.81,overcast clouds
122,Geraldton,AU,-28.7667,114.6,73.4,88,75,19.57,broken clouds
123,Ciudad Bolivar,VE,8.1222,-63.5497,87.42,53,100,3.6,overcast clouds
124,Atambua,ID,-9.1061,124.8925,71.4,82,56,3.24,broken clouds
125,Belaya Gora,RU,68.5333,146.4167,-10.57,97,97,5.01,overcast clouds
126,Severo-Kurilsk,RU,50.6789,156.125,35.11,76,81,6.33,broken clouds
127,Arlit,NE,18.7369,7.3853,86.27,7,0,12.08,clear sky
128,Karasburg,NA,-28.0167,18.75,77.47,23,0,7.25,clear sky
129,Atocha,BO,-20.9333,-66.2333,50.16,72,98,7.87,overcast clouds
130,Dinghai,CN,26.2847,119.7936,64.4,94,40,2.24,scattered clouds
131,Macenta,GN,8.5435,-9.471,71.08,81,98,0.76,overcast clouds
132,Khash,IR,28.2211,61.2158,64.33,24,61,2.75,broken clouds
133,Mecca,SA,21.4267,39.8261,71.35,51,1,6.46,clear sky
134,Makarov,RU,48.6333,142.8,37.92,93,100,7.38,overcast clouds
135,Egvekinot,RU,66.3167,-179.1667,-4.25,78,100,22.44,overcast clouds
136,Masyaf,SY,35.0653,36.3406,50.0,93,75,8.05,broken clouds
137,Saint-Augustin,CA,51.226,-58.6502,42.91,88,86,20.04,overcast clouds
138,Caravelas,BR,-17.7125,-39.2481,75.11,81,13,5.08,few clouds
139,Muromtsevo,RU,56.3724,75.2418,30.79,92,57,9.01,broken clouds
140,Faanui,PF,-16.4833,-151.75,82.42,70,100,10.78,overcast clouds
141,Lichinga,MZ,-13.3128,35.2406,60.67,97,100,4.63,overcast clouds
142,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,4.61,clear sky
143,Baykit,RU,61.67,96.37,28.18,98,100,2.3,overcast clouds
144,Mbandaka,CD,0.0487,18.2603,69.84,89,90,2.06,overcast clouds
145,Hobart,AU,-42.8794,147.3294,50.0,76,75,10.36,broken clouds
146,Clyde,US,41.3042,-82.9752,52.0,88,100,9.64,light rain
147,Buin,CL,-33.7333,-70.75,82.4,13,0,4.61,clear sky
148,Atchison,US,39.563,-95.1216,73.0,36,1,8.57,clear sky
149,Shimoda,JP,34.6667,138.95,55.99,68,68,1.01,broken clouds
150,Guerrero Negro,MX,27.9769,-114.0611,66.06,61,99,17.18,overcast clouds
151,Saskylakh,RU,71.9167,114.0833,14.94,93,89,8.72,overcast clouds
152,Iwanai,JP,42.9744,140.5089,42.91,66,95,6.2,overcast clouds
153,San Cristobal,VE,7.7669,-72.225,87.8,58,40,9.22,scattered clouds
154,Ciudad Del Maiz,MX,22.4,-99.6,90.88,21,54,6.93,broken clouds
155,Rameshki,RU,57.3439,36.0453,42.93,89,89,4.47,overcast clouds
156,Cerrito,CO,6.8432,-72.694,73.4,94,75,3.44,broken clouds
157,Bethanien,NA,-26.502,17.1583,76.91,25,0,6.93,clear sky
158,Port Hedland,AU,-20.3167,118.5667,78.8,89,93,10.29,overcast clouds
159,Nioro,GM,13.35,-15.75,80.91,41,3,6.96,clear sky
160,Barcelos,PT,41.5388,-8.6151,57.99,71,0,6.91,clear sky
161,Ballina,AU,-28.8667,153.5667,60.8,44,0,9.22,clear sky
162,Komsomolskiy,UZ,40.4272,71.7189,51.8,50,4,4.61,clear sky
163,Grenfell,AU,-33.9,148.1667,44.1,75,0,4.85,clear sky
164,Salinopolis,BR,-0.6136,-47.3561,78.8,87,73,8.23,broken clouds
165,Florianopolis,BR,-27.6146,-48.5012,78.8,73,0,10.36,clear sky
166,Bubaque,GW,11.2833,-15.8333,76.91,74,6,16.75,clear sky
167,Busayra,JO,30.7376,35.6078,44.19,65,0,4.88,clear sky
168,Ribeira Grande,PT,38.5167,-28.7,63.07,83,93,12.71,overcast clouds
169,Rio Grande,BR,-32.035,-52.0986,66.99,85,86,5.99,overcast clouds
170,Big Rapids,US,43.6981,-85.4837,57.2,58,90,2.1,overcast clouds
171,Yangambi,CD,0.8102,24.4336,67.53,94,98,1.43,overcast clouds
172,Okhotsk,RU,59.3833,143.3,18.82,78,100,14.0,light snow
173,Georgetown,MY,5.4112,100.3354,81.0,94,40,2.3,scattered clouds
174,Mugi,RU,42.2994,47.4208,44.6,93,95,6.71,overcast clouds
175,Ponta Do Sol,PT,32.6667,-17.1,63.0,81,100,1.01,overcast clouds
176,Monduli,TZ,-3.3,36.45,68.0,83,40,11.5,light rain
177,Cayenne,GF,4.9333,-52.3333,81.0,89,0,2.3,clear sky
178,Kaitangata,NZ,-46.2817,169.8464,60.01,84,38,8.01,scattered clouds
179,Kutum,SD,14.2,24.6667,70.68,14,14,13.78,few clouds
180,Borskoye,RU,53.0333,51.7167,49.71,84,100,7.34,overcast clouds
181,Sakaraha,MG,-22.9,44.5333,70.11,56,2,1.92,clear sky
182,Qeshm,IR,26.9581,56.2719,77.0,88,59,6.91,broken clouds
183,Butaritari,KI,3.0707,172.7902,81.19,77,31,9.51,scattered clouds
184,Vestmanna,FO,62.1564,-7.1664,32.0,74,75,1.14,broken clouds
185,Qaqortoq,GL,60.7167,-46.0333,48.2,29,0,13.8,clear sky
186,Provideniya,RU,64.3833,-173.3,11.62,84,100,29.24,light snow
187,Praya,CV,14.9215,-23.5087,73.4,60,0,19.57,clear sky
188,Mount Gambier,AU,-37.8333,140.7667,51.8,87,90,3.42,overcast clouds
189,Bayburt,TR,40.2589,40.2278,37.78,67,4,3.15,clear sky
190,Souillac,MU,-20.5167,57.5167,77.0,94,75,6.91,broken clouds
191,Yenagoa,NG,4.9247,6.2642,77.76,86,82,4.07,broken clouds
192,Lorengau,PG,-2.0226,147.2712,77.9,89,100,15.84,moderate rain
193,Dalvik,IS,65.9702,-18.5286,33.8,80,75,4.61,broken clouds
194,Vila Velha,BR,-20.3297,-40.2925,79.0,78,0,4.61,clear sky
195,Luderitz,NA,-26.6481,15.1594,72.41,49,0,5.91,clear sky
196,San Quintin,MX,30.4833,-115.95,62.76,70,73,10.54,broken clouds
197,Lata,PT,40.1629,-8.3327,55.0,89,18,1.43,few clouds
198,Merauke,ID,-8.4667,140.3333,78.01,83,43,5.39,scattered clouds
199,Fortuna Foothills,US,32.6578,-114.4119,93.0,12,1,6.91,clear sky
200,Sembe,CG,1.6481,14.5806,71.91,97,85,0.54,light rain
201,Gatton,AU,-27.55,152.2833,57.2,67,40,5.75,scattered clouds
202,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,9.22,broken clouds
203,Russell,US,32.3502,-85.1999,78.8,25,1,9.22,clear sky
204,Desert Hot Springs,US,33.9611,-116.5017,91.99,14,1,8.05,clear sky
205,Sonoita,MX,31.85,-112.8333,91.0,9,99,3.0,overcast clouds
206,Sumbe,AO,-11.2061,13.8437,81.32,83,99,6.82,overcast clouds
207,Coquimbo,CL,-29.9533,-71.3436,59.0,82,0,12.66,clear sky
